text,label
"A vehicle was involved in a collision with a pedestrian at the intersection of Park Street and Railway Parade, where it is believed that the pedestrian stepped out onto the road and was struck by the vehicle. The pedestrian was treated at the scene and is in stable condition. A breath test was conducted on the driver and it was below the legal limit. The vehicle's tyre was examined and it was found to be worn but not bald.",0
"At approximately 9:45am on 12 March 2022, a two-vehicle collision occurred on the M5 motorway near Green Valley in south-western Sydney. A Honda Civic, being driven by a 32-year-old male, swerved to avoid a pothole on the road and lost control, colliding with a Toyota Camry being driven by a 28-year-old female. The driver of the Honda Civic sustained minor injuries and was taken to hospital for treatment. Road conditions were wet due to overnight rain.",2
The accident occurred on the M5 motorway at 3:45 am. A ute was traveling north when it lost control and veered off the road. The vehicle's tire had a blowout and the driver was unable to regain control before crashing into a concrete barrier. There were no other vehicles involved in the incident. The driver was taken to the hospital with minor injuries.,3
"A collision occurred on the M1 Motorway at approximately 10:45am when a ute travelling south lost control and veered off the road, striking a tree before coming to rest on the hard shoulder. The driver was assessed by NSW Ambulance paramedics but refused further treatment. The vehicle was subsequently towed from the scene.",0
"The officer's report noted that the vehicle's tire burst after hitting a pothole on the Sydney Harbour Bridge, causing the driver to lose control and crash into a guardrail. The accident occurred on a wet and windy night.",2
"On 2022-07-15 at approximately 1400 hours, a single vehicle accident occurred on the M1 motorway in Sydney, NSW. The driver lost control of their vehicle due to heavy rain and inadequate visibility, resulting in a collision with the guardrail. There were no reported injuries.",2
"A 57-year-old driver lost control of their vehicle while attempting to change lanes on the M1 motorway. The driver stated they were distracted by a pedestrian who was standing on the median strip. As a result, the vehicle crossed over into the other lane and collided with a truck. The driver was injured and taken to hospital for treatment. The investigation found that the driver was not wearing a seatbelt at the time of the collision.",0
"At approximately 12:45am on a stormy night, a silver sedan was involved in a collision with a stationary road sign on the M1 motorway at Tuggerah. The driver stated they lost control of the vehicle due to excessive speed and the road conditions. Witnesses reported the driver was travelling at an estimated 100km/h in a 80km/h zone, and there was heavy rain and strong winds at the time of the incident. The driver was issued an infringement notice for speeding and was taken to the hospital with minor injuries.",0
"A vehicle was involved in a collision with a tree after the driver lost control while travelling on a wet road. The driver stated that he had not been speeding and was keeping to the speed limit. However, witnesses reported that the road was slippery due to a recent downpour and there were no road signs indicating the road was wet.",2
"The driver of a sedan failed to stop at a red light and collided with a motorcycle, resulting in significant damage to the vehicle and minor injuries to the motorcyclist. The driver was issued a fine for reckless driving.",0
